date,recovery_score,activity_score,sleep_score,stress_data,number_steps,total_burned_calories,avg_saturation_percentage,avg_hr_bpm,resting_hr_bpm,duration_in_bed_seconds_data,duration_deep_sleep,temperature_delta,menstrual_phase
2024-03-27T06:54:00.000000-06:00,,,,,3660,1758,96.955,55.375,49,36688,4020,-0.02,Follicular
2024-03-28T08:19:52.000000-06:00,63.0,,91.0,900.0,4031,1807,97.69,57.625,51,36528,5430,0.24,Ovulation
2024-03-29T09:14:25.000000-06:00,80.0,,73.0,3600.0,3278,1759,96.495,62.25,54,41845,3900,0.78,Ovulation
2024-03-30T07:03:29.000000-06:00,81.0,,92.0,0.0,2344,1675,98.297,56.75,51,28018,3240,0.11,Ovulation
2024-03-31T08:57:33.000000-06:00,74.0,,84.0,1800.0,1453,1619,97.724,61.625,54,41131,5490,0.32,Ovulation
2024-04-01T08:36:30.000000-06:00,62.0,,86.0,0.0,2096,1694,97.123,63.75,58,34320,3690,0.06,Early Luteal
2024-04-02T07:16:28.000000-06:00,73.0,,87.0,1800.0,4166,1847,97.402,63.25,57,39926,4680,0.53,Early Luteal
2024-04-03T07:00:43.000000-06:00,66.0,,62.0,900.0,2075,1689,98.032,61.625,55,34994,1890,0.08,Early Luteal
2024-04-04T07:02:38.000000-06:00,81.0,,92.0,900.0,2643,1715,96.64,56.625,50,20141,4920,0.22,Early Luteal
2024-04-05T06:55:28.000000-06:00,82.0,,86.0,7200.0,3416,1829,98.064,59.125,52,33300,2490,-0.12,Mid Luteal
2024-04-06T06:45:17.000000-06:00,64.0,,70.0,12600.0,2855,1749,98.241,55.5,51,31545,2850,-0.3,Mid Luteal
2024-04-07T07:15:11.000000-06:00,86.0,,91.0,5400.0,4475,1859,96.501,63.75,51,24491,4680,0.12,Mid Luteal
2024-04-08T07:10:28.000000-06:00,79.0,,90.0,13500.0,3368,1759,98.442,53.875,48,33180,4680,0.21,Mid Luteal
2024-04-09T05:34:20.000000-06:00,85.0,,92.0,7200.0,4591,1853,96.929,56.625,51,30110,4770,0.25,Late Luteal
2024-04-10T07:18:59.000000-06:00,83.0,,91.0,10800.0,4369,1832,97.06,57.5,52,35548,4470,0.35,Late Luteal
2024-04-11T08:03:54.000000-06:00,91.0,,90.0,17100.0,4364,1902,95.715,59.625,49,38033,3780,0.34,Late Luteal
2024-04-12T07:07:32.000000-06:00,86.0,,86.0,16200.0,6474,2038,97.845,54.875,48,37140,5670,0.19,Late Luteal
2024-04-13T06:40:28.000000-06:00,88.0,,81.0,16200.0,3483,1819,96.546,53.25,48,29009,4830,0.2,Late Luteal
2024-04-14T07:40:00.000000-06:00,,94.0,,41400.0,6625,2003,96.431,56.75,49,27362,3150,0.34,Menstruation
2024-04-16T05:31:30.000000-06:00,72.0,84.0,74.0,10800.0,5663,1882,97.305,49.625,43,18989,2970,-0.09,Menstruation
2024-04-17T06:09:16.000000-06:00,88.0,80.0,93.0,31500.0,5619,1891,97.296,49.375,44,30106,4560,-0.38,Menstruation
2024-04-18T08:06:58.000000-06:00,88.0,86.0,95.0,15300.0,6610,1880,97.421,48.625,43,36960,3870,-0.11,Menstruation
2024-04-19T08:24:30.000000-06:00,87.0,80.0,96.0,13500.0,5106,1797,97.146,48.625,43,39057,6060,-0.16,Menstruation
2024-04-20T07:08:00.000000-06:00,89.0,73.0,94.0,25200.0,8332,2000,95.856,47.5,42,34648,5490,-0.18,Follicular
2024-04-21T06:10:10.000000-06:00,78.0,78.0,71.0,1800.0,4589,1773,97.352,53.125,47,21431,3840,-0.58,Follicular
2024-04-22T08:07:08.000000-06:00,91.0,79.0,93.0,5400.0,3612,1718,95.968,52.5,43,45698,5520,0.07,Follicular
2024-04-23T08:17:10.000000-06:00,94.0,75.0,96.0,4500.0,3221,1733,97.169,51.5,46,43149,5550,-0.1,Follicular
2024-04-24T06:46:02.000000-06:00,85.0,73.0,82.0,0.0,449,1428,96.165,48.25,43,29759,3450,-0.06,Follicular
2024-04-25T08:20:03.000000-06:00,93.0,76.0,95.0,0.0,355,1398,96.88,48.75,44,37318,5310,-0.18,Follicular
2024-04-26T07:29:57.000000-06:00,93.0,76.0,95.0,0.0,355,1398,97.988,53.75,47,28163,4110,-0.12,Follicular
